#{"t_start": 1775874407.3058903, "env_id": null}
r,l,t
-106.334284,12,0.149281
-105.972342,23,0.287361
-107.527488,10,0.347832
-73.208139,23,0.487881
-126.27341,14,0.57224
-103.351864,11,0.63429
-93.028559,13,0.707812
-90.193595,14,0.785266
-95.618084,14,0.861651
-75.155234,17,0.954431
-115.427234,15,1.026116
-136.178125,18,1.145851
-104.409904,10,1.206809
-106.234296,10,1.264608
-106.326969,9,1.311301
-135.026915,51,1.600319
-106.909764,11,1.660331
-80.575912,8,1.704083
-11.283057,28,1.849496
-112.220131,20,1.950491
-103.362394,14,2.030401
-108.088259,11,2.086979
-106.712634,9,2.135656
-103.612501,11,2.201237
-96.381319,8,2.246777
-112.879754,19,2.363652
-112.330211,23,2.484612
-68.018452,16,2.566077
-124.216833,19,2.666668
-99.697673,12,2.73208
-113.469905,17,2.834053
-109.203048,22,2.952051
-109.54694,14,3.025061
-115.132582,12,3.087242
-104.960141,8,3.128042
-107.263898,11,3.184928
-99.064983,12,3.246543
-101.506791,11,3.302064
-104.646495,13,3.376141
-85.015155,13,3.449856
-110.779767,13,3.518893
-111.171101,13,3.589577
-110.385617,17,3.681111
-88.969292,19,3.782676
-78.259785,14,3.856336
-131.563683,19,3.959998
-112.50097,19,4.059475
-92.822828,10,4.109035
-111.761668,19,4.202527
-78.130976,24,4.34298
-88.052481,18,4.445532
-104.825142,8,4.489074
-106.168828,11,4.544483
-172.159919,39,4.756539
-111.809862,15,4.837857
-57.306393,22,4.956178
-106.388687,11,5.012031
-83.175338,10,5.066846
-83.670065,31,5.225452
-105.136625,8,5.269078
-120.988587,14,5.343812
-106.823727,21,5.457653
-87.262757,9,5.504827
-141.468726,41,5.737076
-102.915349,9,5.786633
-100.500233,7,5.825361
-111.306203,19,5.928902
-110.498355,19,6.02948
-116.443516,26,6.165518
-109.972749,17,6.25724
-95.995113,9,6.302941
-107.363272,12,6.365269
-115.271451,26,6.504897
-106.047077,11,6.565448
-111.78095,19,6.660808
-104.840948,9,6.706918
-114.387749,12,6.771535
-108.163489,14,6.846121
-91.479603,14,6.923897
-71.392168,14,6.999934
-118.146883,12,7.061124
-130.916313,18,7.154361
-106.400481,9,7.201874
-104.050006,10,7.255965
-85.619256,19,7.354231
-111.074406,9,7.403135
-105.693905,8,7.444622
-88.795936,10,7.497205
-84.637797,17,7.589706
-113.921848,22,7.703528
-126.486329,17,7.796034
-113.508463,12,7.862839
-123.966823,17,7.95753
-102.036832,11,8.015002
-122.317061,15,8.090446
-122.084027,16,8.169119
-76.450353,12,8.236372
-123.259019,17,8.325048
-99.354111,12,8.384593
-110.245682,15,8.465166
-96.281259,39,8.659969
-105.955978,9,8.708219
-109.462685,15,8.793892
-104.754562,14,8.875773
-125.968359,27,9.019733
-56.197833,14,9.097253
-105.173889,8,9.144106
-63.53722,16,9.226856
-54.770789,37,9.422932
-115.41648,11,9.484004
-114.12585,11,9.539334
-116.290935,20,9.640589
-115.59807,17,9.73555
-115.688585,17,9.832237
-104.917813,7,9.874916
-105.465613,9,9.923836
-109.022942,11,9.986934
-129.460051,19,10.083853
-112.116108,20,10.192056
-103.767731,12,10.255792
-103.366885,9,10.302866
-122.936373,14,10.381754
-102.915211,14,10.455244
-115.509359,13,10.528852
-93.802306,27,10.672584
-104.871192,8,10.713269
-54.665065,22,10.829895
-106.719231,10,10.884133
-81.391243,13,10.969902
-95.944423,29,11.118714
