#{"t_start": 1775874367.8385577, "env_id": null}
r,l,t
-104.110442,20,0.061795
-105.96614,11,0.081795
-110.147015,16,0.111796
-105.320909,11,0.131797
-92.380083,14,0.160821
-114.741577,24,0.213333
-74.108015,32,0.299412
-104.359106,7,0.720957
-104.541904,7,0.821797
-104.495139,7,0.928394
-104.5074,7,1.02887
-105.039849,7,1.13179
-105.668871,8,1.231409
-114.519452,13,1.358984
-106.587179,10,1.547443
-109.025747,11,1.689884
-107.947042,11,1.866435
-122.622954,14,2.042962
-120.071981,12,2.271303
-106.534829,17,2.474321
-106.494932,12,2.702271
-115.690996,15,2.892727
-108.187437,9,3.121441
-112.093961,10,3.246851
-114.270701,10,3.403127
-121.669721,10,3.547701
-119.82186,10,3.689328
-114.339817,10,3.852906
-117.262058,10,4.004171
-119.909862,10,4.157703
-116.622307,10,4.306124
-116.410931,10,4.463418
-118.029239,10,4.628168
-114.615867,10,4.779316
-115.55065,11,4.939511
-121.552117,12,5.122592
-117.028369,13,5.311516
-112.932483,12,5.503425
-119.808112,15,5.741517
-113.046492,11,5.972752
-117.754842,13,6.144782
-117.595097,14,6.351392
-113.636292,14,6.556936
-120.69302,12,6.761343
-121.29202,12,6.938485
-114.579739,11,7.131596
-108.062929,10,7.300582
-118.179711,12,7.478142
-119.231558,13,7.678687
-100.999446,16,7.877472
-72.455772,19,8.110022
-85.29588,15,8.415675
-106.37139,14,8.671585
-100.56233,16,8.882417
-111.369294,19,9.123538
-113.332768,20,9.448694
-108.482142,16,9.779484
-109.362354,17,10.019497
-92.743592,27,10.301599
-108.122834,15,10.683495
-109.181289,16,10.937365
-89.566001,14,11.201384
-102.994499,16,11.429639
-102.590782,14,11.67039
-96.935787,28,11.927966
-107.872374,15,12.302473
-91.228553,12,12.504797
-91.871434,13,12.686674
-107.787287,15,12.903174
-108.954241,21,13.140767
-114.862485,19,13.449287
-110.704145,18,13.718704
-105.741681,9,13.968954
-121.227297,22,14.150279
