#{"t_start": 1775874382.3013039, "env_id": null}
r,l,t
-106.139114,20,0.063665
-105.981365,11,0.083664
-111.23659,17,0.120673
-91.789196,14,0.153157
-117.739481,12,0.169694
-61.092392,35,0.469944
-180.909598,36,1.496971
-105.033927,9,1.751038
-86.228401,9,1.986067
-127.172224,29,2.776457
-80.812272,17,3.248561
-110.067343,17,3.731441
-109.660552,16,4.173494
-116.348384,26,4.902814
-116.56487,14,5.27683
-105.812677,10,5.543147
-110.306734,17,6.014721
-93.639927,20,6.558896
-128.010583,25,7.250739
-98.754102,8,7.466222
-126.484432,17,7.925413
-124.857135,32,8.836146
-116.988381,19,9.358236
-105.287401,18,9.839514
-95.520026,16,10.291495
-128.876341,19,10.813833
-112.335472,13,11.155505
-88.50453,13,11.517555
-114.885291,24,12.166541
-82.882672,18,12.653014
-79.464166,10,12.930347
-18.842717,34,13.842955
-48.87475,18,14.330258
25.440565,26,15.039795
-48.773597,23,15.667421
-85.061449,14,16.042668
-67.264759,11,16.351585
-73.9811,14,16.745776
53.710254,33,17.637471
-77.724608,9,17.879863
-65.252678,19,18.389206
-84.395898,14,18.760886
-106.617594,9,18.992364
-99.117357,10,19.264237
-59.89399,13,19.622951
-56.9681,20,20.17072
-69.234599,11,20.45769
-104.640276,7,20.647419
-69.33627,10,20.933122
-78.229,13,21.302481
-63.728394,10,21.56253
-104.713952,7,21.753472
-35.535142,21,22.334354
-29.356273,18,22.833435
-25.120884,17,23.324485
-105.75624,12,23.666671
-80.495657,10,23.951246
-101.424894,11,24.275231
-22.669327,16,24.705222
